Account No,Name,Account Type,Balance,Branch
100000,Cust_0,Fixed Deposit,539540,Delhi
100001,Cust_1,Savings,156337,Chennai
100002,Cust_2,Fixed Deposit,366870,Kolkata
100003,Cust_3,Current,431610,Mumbai
100004,Cust_4,Fixed Deposit,733192,Kolkata
100005,Cust_5,Savings,298459,Chennai
100006,Cust_6,Fixed Deposit,65616,Kolkata
100007,Cust_7,Current,26030,Chennai
100008,Cust_8,Current,121123,Delhi
100009,Cust_9,Fixed Deposit,417695,Delhi
100010,Cust_10,Savings,439468,Kolkata
100011,Cust_11,Savings,431094,Mumbai
100012,Cust_12,Fixed Deposit,499875,Chennai
100013,Cust_13,Current,23471,Mumbai
100014,Cust_14,Savings,80660,Kolkata
100015,Cust_15,Current,449971,Kolkata
100016,Cust_16,Current,621506,Chennai
100017,Cust_17,Current,913310,Delhi
100018,Cust_18,Savings,826127,Kolkata
100019,Cust_19,Savings,290569,Delhi
100020,Cust_20,Savings,624254,Delhi
100021,Cust_21,Fixed Deposit,423454,Kolkata
100022,Cust_22,Savings,93580,Delhi
100023,Cust_23,Fixed Deposit,400359,Delhi
100024,Cust_24,Savings,38777,Chennai
100025,Cust_25,Current,449044,Chennai
100026,Cust_26,Fixed Deposit,947738,Mumbai
100027,Cust_27,Fixed Deposit,192495,Delhi
100028,Cust_28,Savings,139955,Kolkata
100029,Cust_29,Savings,176690,Chennai
100030,Cust_30,Savings,984797,Mumbai
100031,Cust_31,Fixed Deposit,21479,Mumbai
100032,Cust_32,Fixed Deposit,822029,Delhi
100033,Cust_33,Savings,634845,Kolkata
100034,Cust_34,Current,529571,Delhi
100035,Cust_35,Savings,22173,Kolkata
100036,Cust_36,Current,181186,Kolkata
100037,Cust_37,Fixed Deposit,910861,Chennai
100038,Cust_38,Current,146095,Kolkata
100039,Cust_39,Savings,638840,Chennai
100040,Cust_40,Savings,818177,Mumbai
100041,Cust_41,Current,124474,Delhi
100042,Cust_42,Savings,877095,Mumbai
100043,Cust_43,Current,315194,Mumbai
100044,Cust_44,Fixed Deposit,683641,Chennai
100045,Cust_45,Current,400411,Delhi
100046,Cust_46,Current,241184,Kolkata
100047,Cust_47,Current,386137,Delhi
100048,Cust_48,Savings,911505,Mumbai
100049,Cust_49,Fixed Deposit,900771,Kolkata
100050,Cust_50,Fixed Deposit,642882,Delhi
100051,Cust_51,Fixed Deposit,671667,Mumbai
100052,Cust_52,Fixed Deposit,482664,Kolkata
