Date,Sales Person,State,Product,Quantity
2025-04-16,Tushar Bandi,Rajasthan,OCR Scanner,396
2025-01-03,Dharmajan Bala,Himachal Pradesh,OMR Scanner,206
2024-12-03,Suhana Sandhu,Tamil Nadu,OMR Scanner,351
2025-03-09,Aarav Salvi,Tamil Nadu,Foldable Keyboard,269
2025-06-01,Ritvik Kalla,Madhya Pradesh,Standard Keyboard,333
2024-12-11,Hiran Chahal,Rajasthan,Laser Printer,167
2025-03-30,Pari Baria,Chhattisgarh,Mouse,101
2025-04-16,Aradhya Rastogi,Bihar,Gaming Mouse,214
2025-01-13,Romil Subramaniam,Tamil Nadu,Thermal Printer,479
2025-01-16,Lakshit Chahal,Karnataka,Flatbed Scanner,333
2025-04-30,Shamik Korpal,Gujarat,OCR Scanner,518
2025-06-01,Mahika Rajagopal,Telangana,WebCam,408
2025-06-28,Reyansh Dar,Maharashtra,Mouse,359
2025-06-20,Alia Kunda,Gujarat,Laser Printer,372
2025-01-08,Dhanuk Dar,Gujarat,Thermal Printer,445
2025-04-25,Kimaya Datta,Assam,Standard Keyboard,107
2024-09-19,Bhavin Shroff,Arunachal Pradesh,Flatbed Scanner,539
2024-10-22,Priyansh Bahri,Telangana,WebCam,390
2024-11-20,Ira Seshadri,Rajasthan,OCR Scanner,184
2024-09-30,Anya Borah,Maharashtra,Standard Keyboard,104
2025-06-28,Siya Malhotra,Odisha,Flatbed Scanner,506
2025-06-05,Kismat Tripathi,Odisha,WebCam,442
2024-11-24,Kanav Lanka,Tamil Nadu,WebCam,513
2025-02-19,Amira Sarma,Assam,Mechanical Keyboard,374
2025-03-16,Jivin Dar,Kerala,WebCam,517
2024-12-25,Kimaya Bera,Madhya Pradesh,Laser Printer,449
2024-11-17,Saira Zacharia,Odisha,Thermal Printer,334
2025-08-28,Damini Madan,Arunachal Pradesh,WebCam,268
2025-01-15,Aarna Kota,Jammu and Kashmir,Gaming Mouse,575
2025-01-02,Seher Wali,Kerala,Standard Keyboard,511
2025-05-05,Vihaan Bal,Uttar Pradesh,Mechanical Keyboard,153
2024-09-19,Neelofar Lalla,Andhra Pradesh,OCR Scanner,129
2024-11-26,Charvi Gill,Gujarat,WebCam,500
2024-11-12,Aarav Rana,Bihar,Flatbed Scanner,111
2025-08-19,Heer Batra,Bihar,Gaming Mouse,287
2024-09-21,Prerak Rajagopal,Bihar,Mouse,530
2025-05-04,Nitara Deshpande,Maharashtra,Thermal Printer,424
2025-06-07,Alia Shetty,Chhattisgarh,Mechanical Keyboard,562
2024-11-03,Raghav Bhat,Uttar Pradesh,Graphic Pad,108
2025-04-16,Rhea Shah,West Bengal,Thermal Printer,558
2025-04-23,Ishita Madan,Karnataka,Mouse,308
2025-01-15,Samarth Zacharia,Telangana,OMR Scanner,504
2025-04-21,Gatik Andra,Telangana,Mechanical Keyboard,557
2024-11-28,Divij Dara,Haryana,Flatbed Scanner,521
2025-04-03,Aarav Borah,Bihar,WebCam,223
2025-03-25,Shray Sarin,West Bengal,Graphic Pad,257
2024-10-03,Suhana Trivedi,Uttar Pradesh,Laser Printer,455
2024-09-13,Dhanuk Sachar,Arunachal Pradesh,Mouse,241
2025-01-13,Kismat Jaggi,Karnataka,Thermal Printer,443
2025-03-03,Hunar Datta,Chhattisgarh,OMR Scanner,329
2025-04-10,Stuvan Agarwal,Gujarat,Mechanical Keyboard,536
2025-07-28,Fateh Bajwa,Chhattisgarh,Mouse,355
2025-02-27,Vardaniya Majumdar,West Bengal,Foldable Keyboard,277
2024-10-23,Siya Rau,West Bengal,Standard Keyboard,193
